airbnb_listing_id,diaria_media,diaria_mediana,dias_ocupados,min_data,max_data,qtd_linhas
936216057908307884,395.12533333333334,406.0,75,2025-01-28,2025-04-20,75
939218400123538892,444.11764705882354,350.0,34,2025-02-22,2025-03-27,34
939325387438995809,1382.8947368421052,1200.0,76,2025-01-10,2025-04-20,76
939698664229028471,318.14102564102564,300.0,39,2025-01-23,2025-04-16,39
942057172413556286,100.0,100.0,39,2025-02-27,2025-04-06,39
944320965810800803,886.4118781609196,890.0,87,2025-01-24,2025-04-20,87
946451380352813662,1109.8660714285713,1100.0,28,2025-01-15,2025-04-20,28
946609581890906389,412.4414416216216,395.33334,37,2025-02-25,2025-04-14,37
950059146531590785,469.05882352941177,397.0,17,2025-02-08,2025-03-10,17
956398979498945273,464.1025641025641,500.0,39,2025-03-07,2025-04-14,39
956676934234107014,516.25,504.0,24,2025-01-27,2025-03-30,24
957349094500016515,583.2378048780488,699.0,82,2025-01-25,2025-04-20,82
963040775940890055,653.7623444444445,644.0,81,2025-01-12,2025-04-20,81
963916345061155113,1364.454762857143,1400.0,35,2025-02-01,2025-03-31,35
964579064376617710,757.777027027027,686.5,74,2025-01-31,2025-04-20,74
965258538716677226,624.6976744186046,590.0,86,2025-01-08,2025-04-05,86
965310801955633109,476.984126984127,450.0,63,2025-02-05,2025-04-20,63
966687088388761169,788.1443298969073,850.0,97,2025-01-14,2025-04-20,97
968213956640500474,468.1117885365854,473.0,82,2025-01-14,2025-04-17,82
970445468070597218,570.0,570.0,2,2025-01-07,2025-01-08,2
973272705231391942,301.1111111111111,240.0,45,2025-02-15,2025-03-31,45
978095320445301654,884.8841463414634,900.0,82,2025-01-14,2025-04-20,82
978244263452010977,448.42,456.0,50,2025-01-13,2025-04-17,50
978410400232267791,396.317204516129,400.0,31,2025-03-01,2025-03-31,31
980310639590708922,617.5989010989011,594.0,91,2025-01-10,2025-04-20,91
980365989956218871,1528.623287671233,1582.0,73,2025-01-21,2025-04-06,73
982642009007231841,267.32211557692307,230.0,52,2025-01-27,2025-04-07,52
983188724209547131,872.5945945945946,1000.0,74,2025-01-27,2025-04-17,74
984846668146064982,993.5754716981132,946.0,53,2025-01-15,2025-03-08,53
985445004274818605,165.11016949152543,150.0,59,2025-01-26,2025-04-17,59
985716714802993034,541.3472229166667,500.0,48,2025-03-04,2025-04-20,48
986245345084467584,832.9476744186046,800.0,86,2025-01-25,2025-04-20,86
986407426689940399,283.95348837209303,290.0,43,2025-01-18,2025-04-17,43
986565062867231257,239.26966292134833,230.0,89,2025-01-07,2025-04-07,89
991407580891691701,649.5373134328358,572.0,67,2025-01-20,2025-04-20,67
995680028058206783,3517.75,3500.0,96,2025-01-07,2025-04-20,96
